"Document ID","Document Title",Categories,"Number of Views"
518302,"FY2025 ICD-10-CM Alphabetic Index to Diseases and Injuries","Code Sets, ICD Codes, ICD-10",11
37090,"Resident Evacuation Form","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Forms and Tools, Forms and Tools, Safety, Tools and Templates",11
24576,"Unnecessary Medications, Psychotropic Medications, and Medication Regimen Review Critical Element Pathway: CMS-20082 Form","3. Initial Pool Process, Long Term Care Survey Process, Survey and Certification",11
503886,"Wound Photography Consent Form","Forms and Tools, Nursing, Pressure Injuries, Supplemental Tools, Tools and Templates",11
38206,"Turning and Repositioning Policy","Nursing, Nursing, Policies and Procedures, Policies and Procedures, Pressure Injuries, Tools and Templates, Wound Management",11
38187,"Pressure Injury Risk Assessment Policy","Nursing, Nursing, Policies and Procedures, Policies and Procedures, Pressure Injuries, Tools and Templates, Wound Management",11
38394,"Medication Errors Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",11
505113,"HR Policy Review Acknowledgement","Forms and Checklists, Human Resources, Tools and Templates",11
37295,"Nutritional and Dietary Supplements Policy","Food and Nutrition, Food and Nutrition Service, Policies and Procedures, Policies and Procedures, Tools and Templates",11
454850,"Rehospitalization Performance Improvement Project (PIP) Worksheet – Template","Administrative, Forms and Checklists, Performance Improvement Projects, QAPI, Social Services, Tools and Templates",11
27793,"F-686 Treatment and Services to Prevent / Heal Pressure Ulcers","Appendix PP (F-Tags), Survey and Certification",11
37159,"Safeguarding of Resident Identifiable Information Policy","Administrative, HIPAA, HIPAA, Policies and Procedures, Policies and Procedures, Tools and Templates",11
37053,"Emergency Preparedness Facility Self-Assessment Checklist","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Forms and Tools, Forms and Tools, Safety, Tools and Templates",11
24571,"Matrix Instructions for Providers (CMS-802)","2. Facility Entrance, Long Term Care Survey Process, Survey and Certification",11
24588,"Medication Administration Observation: CMS-20056 Form","4. Mandatory Facility Level Tasks, Long Term Care Survey Process, Survey and Certification",11
37416,"Orientation Policy &#8211; HR Policy","Human Resources, Human Resources, Policies and Procedures, Policies and Procedures, Tools and Templates",11
40434,"QAPI Annual Goals and Objectives Worksheet &#8211; Template","Administrative, QAPI, Tools, Tools and Templates",11
36996,"Resident Go Bags Policy","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",11
40867,"Culturally Competent Care Training Presentation Pre-Post Test (Questions with Answer Key)","Competencies and Skills, Cultural Competency, Social Services, Social Services, Staff Development, Tools and Templates, Training",11
38134,"Proper Use of Bed Rails Policy","Falls Prevention, Nursing, Nursing, Nursing Processes, Policies and Procedures, Policies and Procedures, Tools and Templates",11
38322,"Addressing Medication Regimen Review Irregularities Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",11
458020,"Immunization Informed Consent Record","Forms and Checklists, Infection Control, Nursing, Tools and Templates",11
35170,"QAPI Leadership Rounding Guide","Element 2 - Governance and Leadership, Government Initiatives, QAPI",11
41579,"QAPI Memo from Governing Body","Administrative, QAPI, Tools, Tools and Templates",11
39236,"Personal Protective Equipment Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",11
39251,"Responding to Positive TB Tests Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",11
39260,"TB Testing: Interferon Gamma Release Assays Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",11
38437,"Storage of Medications Requiring Refrigeration Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",11
40016,"Transmission Based Isolation Precautions Policy and Policy Review Test (Questions with Answer Key)","Competencies and Skills, Infection Control, Infection Control, Nursing, Prevention, Staff Development, Tools and Templates, Training",11
36050,"Immediate Jeopardy Removal Plan Template","Immediate Jeopardy Removal Plans, Survey Management, Tools and Templates",11
506756,"February 2025 Activity Calendar","Activities, Activity Calendars, Tools and Templates",11
467046,"Patient Care Related Electrical Equipment (PCREE) Forms Packet","Life Safety Code, Maintenance, Tools, Tools and Templates",11
36851,"Licensed Nurse Credentialing and License Verification &#8211; HR Policy","Administrative, Compliance and Ethics, Compliance and Ethics, Human Resources, Human Resources, Policies and Procedures, Policies and Procedures, Policies and Procedures, Tools and Templates",11
518885,"Medication Record Administration (MAR) for Electronic Downtime","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",11
37437,"Professional Development &#8211; HR Policy","Human Resources, Human Resources, Policies and Procedures, Policies and Procedures, Tools and Templates",11
41592,"Your Input Matters &#8211; Staff QAPI Fact Sheet","Administrative, QAPI, Tools, Tools and Templates",11
27754,"F-605 Right to be Free from Chemical Restraints","Appendix PP (F-Tags), Survey and Certification",11
38391,"Medication Cross Match Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",11
522557,"Mask Posters &#8211; Masks are Optional and Please Wear a Mask","CDC, Infection Control, Regulatory Agencies",11
484294,"CVA/Stroke: A Care Solution","Care Solutions, Nursing, Tools and Templates",11
38407,"Medication Regimen Review Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",11
33533,"Minnesota &#8211; Assisted Living Regulations","Assisted Living State Regulations, Minnesota, State Regulations",11
457965,"Hand Hygiene CDC Interactive Training Course","Infection Control, Infection Control, Nursing, Prevention, Staff Development, Tools and Templates, Training",11
27972,"Care Plan Acknowledgement Form &#8211; Resident/Representative","MDS, Supplemental Tools, Tools and Templates",11
37283,"Manual Warewashing &#8211; 3 Compartment Sink Policy","Food and Nutrition, Food and Nutrition Service, Policies and Procedures, Policies and Procedures, Tools and Templates",11
37289,"Monitoring of Cooler/Freezer Temperature Policy","Food and Nutrition, Food and Nutrition Service, Policies and Procedures, Policies and Procedures, Tools and Templates",11
37996,"Electrical Safety Policy","Life Safety Code, Life Safety Code, Maintenance, Policies and Procedures, Policies and Procedures, Tools and Templates",11
510916,"*E-Tag Policy Crosswalk","*Table of Contents for P&amp;Ps, Administrative, Emergency Preparedness, Emergency Preparedness, Policies and Procedures, Policies and Procedures, Tools and Templates",11
489169,"OBRA MDS Timeliness Compliance Performance Improvement Project (PIP) Worksheet &#8211; Template","Administrative, MDS, Performance Improvement Projects, QAPI, Supplemental Tools, Tools and Templates",11
43648,"Restorative Nursing Services Dashboard","Forms and Checklists, Nursing, Restorative Nursing Services, Tools and Templates",11
450223,"Nutrition/Hydration: A Care Solution","Care Solutions, Nursing, Tools and Templates",11
35574,"Ware Washing Sink Temperature Chart","Food and Nutrition Forms, Food and Nutrition Service, Tools and Templates",11
42624,"Medicare Days Tracker","MDS, Supplemental Tools, Tools and Templates",11
459195,"Working with Difficult Families Fact Sheet Pre-Post Test (Questions with Answer Key)","Competencies and Skills, Professional Development, Social Services, Social Services, Staff Development, Tools and Templates, Training",11
43651,"Functional Mobility Performance Improvement Project (PIP) Worksheet – Template","Administrative, Forms and Checklists, Nursing, Performance Improvement Projects, QAPI, Restorative Nursing Services, Tools and Templates",11
37332,"Attendance and Punctuality &#8211; HR Policy","Human Resources, Human Resources, Policies and Procedures, Policies and Procedures, Tools and Templates",10
36446,"Is Your Facility Hiring for Value &#8211; Form","Administrative, Facility Assessment, Forms and Checklists, Human Resources, Staffing Tools, Tools and Templates",10
35852,"Electrical Receptacle Testing Form","Life Safety Code, Maintenance, Tools, Tools and Templates",10
36942,"Emergency Water Supply Policy","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",10
36224,"Certification and Recertification Policy","Administrative, Business Office, Business Office, MDS, Minimum Data Set (MDS), Policies and Procedures, Policies and Procedures, Policies and Procedures, Tools and Templates",10
462619,"COVID-19 Vaccination Employee Tracking Log","Forms and Checklists, Infection Control, Nursing, Tools and Templates",10
35932,"Bed Rail/Mattress Safety Assessment Form","Maintenance, Physical Plant, Tools, Tools and Templates",10
33469,"Keep it Going Activity Plan","Activities, Activity Plans, Tools and Templates",10
489563,"Warning Signs of Substance Use Disorder &#8211; Infographic","Forms and Checklists, Social Services, Tools and Templates",10
451544,"COVID-19 Infection Control Observations and Validation Checklists","Common Infections, Competencies and Skills, Infection Control, Infection Control, Nursing, Staff Development, Tools and Templates, Training",10
37077,"How We Prepare for Emergencies (Resident/Family Fact Sheet)","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Forms and Tools, Forms and Tools, Safety, Tools and Templates",10
